order_id,client_id,order_date,fulfillment_status,total_cost,order_year,order_month,month_name,day_name,order_quarter
70001,C09,2023-11-03,Cancelled,2785.89,2023,11,November,Friday,Q4
70002,C07,2023-12-28,Delivered,3037.68,2023,12,December,Thursday,Q4
70003,C15,2024-12-22,Pending,745.75,2024,12,December,Sunday,Q4
70004,C08,2021-11-23,Delivered,3282.88,2021,11,November,Tuesday,Q4
70005,C08,2021-07-19,Delivered,2317.03,2021,7,July,Monday,Q3
70006,C06,2021-08-05,Pending,3338.17,2021,8,August,Thursday,Q3
70007,C08,2022-12-07,Delivered,1474.35,2022,12,December,Wednesday,Q4
70008,C19,2021-02-20,Pending,624.92,2021,2,February,Saturday,Q1
70009,C13,2020-03-04,Cancelled,5970.17,2020,3,March,Wednesday,Q1
70010,C15,2021-12-25,Delivered,5609.0,2021,12,December,Saturday,Q4
70011,C08,2022-09-06,Pending,4575.0,2022,9,September,Tuesday,Q3
70012,C02,2022-01-24,Delayed,5813.89,2022,1,January,Monday,Q1
70013,C15,2021-03-12,Pending,1936.31,2021,3,March,Friday,Q1
70014,C03,2021-08-14,Delivered,6835.14,2021,8,August,Saturday,Q3
70015,C18,2023-09-10,Pending,2995.29,2023,9,September,Sunday,Q3
70016,C19,2020-01-25,Delivered,155.65,2020,1,January,Saturday,Q1
70017,C13,2020-01-31,Delayed,5596.45,2020,1,January,Friday,Q1
70018,C07,2020-01-07,Pending,991.92,2020,1,January,Tuesday,Q1
70019,C13,2022-03-17,Delivered,4426.37,2022,3,March,Thursday,Q1
70020,C07,2020-08-01,Cancelled,7162.07,2020,8,August,Saturday,Q3
70021,C11,2021-05-29,Delivered,1685.75,2021,5,May,Saturday,Q2
70022,C14,2020-05-05,Pending,5380.47,2020,5,May,Tuesday,Q2
70023,C12,2024-05-06,Delivered,5266.51,2024,5,May,Monday,Q2
70024,C06,2021-11-04,Pending,6796.23,2021,11,November,Thursday,Q4
70025,C03,2022-12-18,Delivered,922.5,2022,12,December,Sunday,Q4
70026,C12,2020-11-02,Delivered,6199.36,2020,11,November,Monday,Q4
70027,C16,2020-12-13,Cancelled,3445.85,2020,12,December,Sunday,Q4
70028,C09,2020-03-04,Delivered,4994.75,2020,3,March,Wednesday,Q1
70029,C07,2021-09-02,Cancelled,890.29,2021,9,September,Thursday,Q3
70030,C07,2021-10-09,Delivered,5615.27,2021,10,October,Saturday,Q4
70031,C12,2021-01-05,Delayed,3832.36,2021,1,January,Tuesday,Q1
70032,C07,2020-07-21,Delivered,749.98,2020,7,July,Tuesday,Q3
70033,C17,2022-11-08,Delivered,6476.28,2022,11,November,Tuesday,Q4
70034,C12,2020-01-28,Delivered,5856.31,2020,1,January,Tuesday,Q1
70035,C04,2020-09-11,Pending,948.68,2020,9,September,Friday,Q3
70036,C17,2023-09-08,Delivered,6500.92,2023,9,September,Friday,Q3
70037,C03,2021-03-17,Delivered,6740.63,2021,3,March,Wednesday,Q1
70038,C14,2023-07-12,Cancelled,2636.79,2023,7,July,Wednesday,Q3
70039,C11,2020-04-25,Delayed,3569.3,2020,4,April,Saturday,Q2
70040,C05,2022-05-11,Pending,3188.62,2022,5,May,Wednesday,Q2
70041,C15,2021-09-03,Cancelled,197.03,2021,9,September,Friday,Q3
70042,C02,2021-12-18,Delivered,5960.86,2021,12,December,Saturday,Q4
70043,C17,2020-10-22,Delivered,2396.02,2020,10,October,Thursday,Q4
70044,C11,2022-11-09,Delivered,2752.61,2022,11,November,Wednesday,Q4
70045,C04,2023-11-03,Delivered,777.07,2023,11,November,Friday,Q4
70046,C07,2022-10-15,Delivered,512.06,2022,10,October,Saturday,Q4
70047,C15,2022-08-03,Delivered,5606.32,2022,8,August,Wednesday,Q3
70048,C19,2024-10-05,Delayed,4207.77,2024,10,October,Saturday,Q4
70049,C06,2021-06-12,Delivered,684.38,2021,6,June,Saturday,Q2
70050,C03,2020-12-10,Cancelled,7219.36,2020,12,December,Thursday,Q4
70051,C03,2022-12-11,Delivered,7331.57,2022,12,December,Sunday,Q4
70052,C08,2022-11-13,Delivered,3067.68,2022,11,November,Sunday,Q4
70053,C17,2020-06-12,Delivered,2613.43,2020,6,June,Friday,Q2
70054,C02,2020-11-21,Cancelled,3688.47,2020,11,November,Saturday,Q4
70055,C16,2023-06-22,Pending,889.78,2023,6,June,Thursday,Q2
70056,C13,2022-01-01,Delivered,6506.01,2022,1,January,Saturday,Q1
70057,C12,2020-08-13,Cancelled,6068.46,2020,8,August,Thursday,Q3
70058,C10,2024-02-13,Pending,4981.75,2024,2,February,Tuesday,Q1
70059,C06,2020-10-19,Delayed,4115.57,2020,10,October,Monday,Q4
70060,C06,2023-12-02,Delivered,929.25,2023,12,December,Saturday,Q4
70061,C13,2024-10-31,Delivered,4066.5,2024,10,October,Thursday,Q4
70062,C11,2024-08-05,Delivered,7058.4,2024,8,August,Monday,Q3
70063,C13,2023-02-24,Cancelled,5933.88,2023,2,February,Friday,Q1
70064,C13,2024-06-02,Cancelled,6484.15,2024,6,June,Sunday,Q2
