order_id,client_id,order_date,fulfillment_status,total_cost
70001,C09,2023-11-03,Cancelled,2785.89
70002,C07,2023-12-28,Delivered,3037.68
70003,C15,2024-12-22,Pending,745.75
70004,C08,2021-11-23,Delivered,3282.88
70005,C08,2021-07-19,Delivered,2317.03
70006,C06,2021-08-05,Pending,3338.17
70007,C08,2022-12-07,Delivered,1474.35
70008,C19,2021-02-20,Pending,624.92
70009,C13,2020-03-04,Cancelled,5970.17
70010,C15,2021-12-25,Delivered,5609.0
70011,C08,2022-09-06,Pending,4575.0
70012,C02,2022-01-24,Delayed,5813.89
70013,C15,2021-03-12,Pending,1936.31
70014,C03,2021-08-14,Delivered,6835.14
70015,C18,2023-09-10,Pending,2995.29
70016,C19,2020-01-25,Delivered,155.65
70017,C13,2020-01-31,Delayed,5596.45
70018,C07,2020-01-07,Pending,991.92
70019,C13,2022-03-17,Delivered,4426.37
70020,C07,2020-08-01,Cancelled,7162.07
70021,C11,2021-05-29,Delivered,1685.75
70022,C14,2020-05-05,Pending,5380.47
70023,C12,2024-05-06,Delivered,5266.51
70024,C06,2021-11-04,Pending,6796.23
70025,C03,2022-12-18,Delivered,922.5
70026,C12,2020-11-02,Delivered,6199.36
70027,C16,2020-12-13,Cancelled,3445.85
70028,C09,2020-03-04,Delivered,4994.75
70029,C07,2021-09-02,Cancelled,890.29
70030,C07,2021-10-09,Delivered,5615.27
70031,C12,2021-01-05,Delayed,3832.36
70032,C07,2020-07-21,Delivered,749.98
70033,C17,2022-11-08,Delivered,6476.28
70034,C12,2020-01-28,Delivered,5856.31
70035,C04,2020-09-11,Pending,948.68
70036,C17,2023-09-08,Delivered,6500.92
70037,C03,2021-03-17,Delivered,6740.63
70038,C14,2023-07-12,Cancelled,2636.79
70039,C11,2020-04-25,Delayed,3569.3
70040,C05,2022-05-11,Pending,3188.62
70041,C15,2021-09-03,Cancelled,197.03
70042,C02,2021-12-18,Delivered,5960.86
70043,C17,2020-10-22,Delivered,2396.02
70044,C11,2022-11-09,Delivered,2752.61
70045,C04,2023-11-03,Delivered,777.07
70046,C07,2022-10-15,Delivered,512.06
70047,C15,2022-08-03,Delivered,5606.32
70048,C19,2024-10-05,Delayed,4207.77
70049,C06,2021-06-12,Delivered,684.38
70050,C03,2020-12-10,Cancelled,7219.36
70051,C03,2022-12-11,Delivered,7331.57
70052,C08,2022-11-13,Delivered,3067.68
70053,C17,2020-06-12,Delivered,2613.43
70054,C02,2020-11-21,Cancelled,3688.47
70055,C16,2023-06-22,Pending,889.78
70056,C13,2022-01-01,Delivered,6506.01
70057,C12,2020-08-13,Cancelled,6068.46
70058,C10,2024-02-13,Pending,4981.75
70059,C06,2020-10-19,Delayed,4115.57
70060,C06,2023-12-02,Delivered,929.25
70061,C13,2024-10-31,Delivered,4066.5
70062,C11,2024-08-05,Delivered,7058.4
70063,C13,2023-02-24,Cancelled,5933.88
70064,C13,2024-06-02,Cancelled,6484.15
70065,C03,2021-04-28,Cancelled,4012.1
70066,C11,2023-04-27,Pending,1044.28
70067,C02,2022-07-25,Cancelled,2310.69
70068,C15,2020-06-28,Delivered,4274.79
70069,C16,2024-04-14,Cancelled,4909.07
70070,C13,2022-12-17,Delivered,6289.52
